Array_size,Time,Times_to_run,Element_size_range
28500,7.458300054073334,3,1000
28600,5.783999979496002,3,1000
28700,6.383099973201752,3,1000
28800,5.910899996757507,3,1000
28900,6.757099986076355,3,1000
29000,5.9585999846458435,3,1000
29100,7.54830002784729,3,1000
29200,5.810499966144562,3,1000
29300,5.828099966049194,3,1000
29400,7.277400016784668,3,1000
29500,6.132300019264221,3,1000
29600,8.062799990177155,3,1000
29700,6.737399995326996,3,1000
29800,6.2980000376701355,3,1000
29900,6.663100004196167,3,1000
30000,6.076799988746643,3,1000
30100,7.9842000007629395,3,1000
30200,6.249199986457825,3,1000
30300,6.573599994182587,3,1000
30400,5.980599999427795,3,1000
30500,5.934300005435944,3,1000
30600,6.535399973392487,3,1000
30700,6.614000022411346,3,1000
30800,6.591399967670441,3,1000
30900,8.548799991607666,3,1000
31000,5.995199978351593,3,1000
31100,7.623300015926361,3,1000
31200,6.126399993896484,3,1000
31300,6.5799999833106995,3,1000
31400,6.072499990463257,3,1000
31500,6.046900033950806,3,1000
31600,6.656700015068054,3,1000
31700,6.501600027084351,3,1000
31800,6.494599997997284,3,1000
31900,5.997200012207031,3,1000
32000,6.101100027561188,3,1000
32100,6.765100002288818,3,1000
32200,6.912900030612946,3,1000
32300,11.117999970912933,3,1000
32400,6.547199964523315,3,1000
32500,13.42170000076294,3,1000
32600,16.901700019836426,3,1000
32700,15.869099974632263,3,1000
32800,9.532400012016296,3,1000
32900,6.784099996089935,3,1000
33000,6.921199977397919,3,1000
33100,7.478299975395203,3,1000
33200,6.999500036239624,3,1000
33300,7.227400004863739,3,1000
33400,6.488600015640259,3,1000
33500,6.666299998760223,3,1000
33600,7.097199976444244,3,1000
33700,6.570599973201752,3,1000
33800,7.211800038814545,3,1000
33900,6.819999992847443,3,1000
34000,6.562999963760376,3,1000
34100,7.424199998378754,3,1000
34200,6.732800006866455,3,1000
34300,7.9514999985694885,3,1000
34400,7.101900041103363,3,1000
34500,7.041399955749512,3,1000
34600,7.839100003242493,3,1000
34700,6.997500002384186,3,1000
34800,6.9305999875068665,3,1000
34900,8.023800015449524,3,1000
35000,7.138599991798401,3,1000
35100,7.930799961090088,3,1000
35200,7.765500009059906,3,1000
35300,7.050599992275238,3,1000
35400,7.761500000953674,3,1000
35500,7.102800011634827,3,1000
35600,8.280000030994415,3,1000
35700,7.9908000230789185,3,1000
35800,7.576900005340576,3,1000
35900,8.415000021457672,3,1000
36000,20.435699999332428,3,1000
36100,13.004000008106232,3,1000
36200,8.740299999713898,3,1000
36300,8.960800051689148,3,1000
36400,7.793299973011017,3,1000
36500,8.828999996185303,3,1000
36600,9.56439995765686,3,1000
36700,70.3905000090599,3,1000
36800,8.769200026988983,3,1000
36900,9.843999981880188,3,1000
37000,8.558000028133392,3,1000
37100,8.043000042438507,3,1000
37200,8.583899974822998,3,1000
37300,8.753799974918365,3,1000
37400,8.478900015354156,3,1000
37500,13.5003000497818,3,1000
37600,8.819000005722046,3,1000
37700,7.450800001621246,3,1000
37800,8.189099967479706,3,1000
37900,8.099200010299683,3,1000
38000,7.5746999979019165,3,1000
38100,7.589999973773956,3,1000
38200,8.226700007915497,3,1000
38300,8.054400026798248,3,1000
38400,7.595700025558472,3,1000
38500,8.861299991607666,3,1000
38600,8.680500030517578,3,1000
38700,7.91540002822876,3,1000
38800,8.003999948501587,3,1000
38900,8.561499953269958,3,1000
39000,8.656199991703033,3,1000
39100,7.991299986839294,3,1000
39200,9.149699985980988,3,1000
39300,8.81800001859665,3,1000
39400,7.9842000007629395,3,1000
39500,8.017199993133545,3,1000
39600,9.678300023078918,3,1000
39700,11.257300019264221,3,1000
39800,10.393999993801117,3,1000
39900,14.740199983119965,3,1000
40000,15.12169998884201,3,1000
40100,9.80349999666214,3,1000
40200,8.237399995326996,3,1000
40300,8.272200047969818,3,1000
40400,8.942600011825562,3,1000
40500,8.876200020313263,3,1000
40600,8.260399997234344,3,1000
40700,10.455900013446808,3,1000
40800,11.873199999332428,3,1000
40900,9.625299990177155,3,1000
41000,9.334200024604797,3,1000
41100,8.23530000448227,3,1000
41200,14.062400043010712,3,1000
41300,9.33600002527237,3,1000
41400,9.375699996948242,3,1000
41500,8.523999989032745,3,1000
41600,8.612599968910217,3,1000
41700,9.212099969387054,3,1000
41800,9.41729998588562,3,1000
41900,8.652300000190735,3,1000
42000,9.886600017547607,3,1000
42100,10.092799961566925,3,1000
42200,9.9060999751091,3,1000
42300,9.447899997234344,3,1000
42400,11.790799975395203,3,1000
42500,12.28659999370575,3,1000
42600,10.830999970436096,3,1000
42700,9.762200057506561,3,1000
42800,9.86650002002716,3,1000
42900,10.310699999332428,3,1000
43000,9.481700003147125,3,1000
43100,9.37959998846054,3,1000
43200,10.501200020313263,3,1000
43300,10.242699980735779,3,1000
43400,9.638999998569489,3,1000
43500,10.175300002098083,3,1000
43600,10.117400050163269,3,1000
43700,10.397899985313416,3,1000
43800,10.02920001745224,3,1000
43900,9.889900028705597,3,1000
44000,9.816500008106232,3,1000
44100,9.29069995880127,3,1000
44200,9.258100032806396,3,1000
44300,10.35400003194809,3,1000
44400,16.46969997882843,3,1000
44500,12.164399981498718,3,1000
44600,11.73030000925064,3,1000
44700,11.725899994373322,3,1000
44800,10.881400048732758,3,1000
44900,10.204299986362457,3,1000
45000,10.565600037574768,3,1000
45100,10.0417999625206,3,1000
45200,10.561500012874603,3,1000
45300,10.19539999961853,3,1000
45400,10.24889999628067,3,1000
45500,9.571999967098236,3,1000
45600,11.438700020313263,3,1000
45700,9.62389999628067,3,1000
45800,10.315400004386902,3,1000
45900,10.235900044441223,3,1000
46000,10.392599999904633,3,1000
46100,10.594099998474121,3,1000
46200,10.423799991607666,3,1000
46300,10.570200026035309,3,1000
46400,9.804699957370758,3,1000
46500,12.568300008773804,3,1000
46600,12.812399983406067,3,1000
46700,10.703199982643127,3,1000
46800,10.514499962329865,3,1000
46900,10.651600003242493,3,1000
47000,10.651199996471405,3,1000
47100,15.433600008487701,3,1000
47200,14.008599996566772,3,1000
47300,13.138199985027313,3,1000
47400,10.329600036144257,3,1000
47500,10.242500007152557,3,1000
47600,10.12279999256134,3,1000
47700,10.193300008773804,3,1000
47800,10.84280002117157,3,1000
47900,10.867000043392181,3,1000
48000,12.337499976158142,3,1000
48100,14.030799984931946,3,1000
48200,12.22079998254776,3,1000
48300,12.891799986362457,3,1000
48400,11.441000044345856,3,1000
48500,11.062399983406067,3,1000
48600,11.400600016117096,3,1000
48700,14.250099956989288,3,1000
48800,13.413399994373322,3,1000
48900,11.19379997253418,3,1000
49000,10.608799993991852,3,1000
49100,12.33459997177124,3,1000
49200,12.160099983215332,3,1000
49300,10.909799993038177,3,1000
49400,12.644900023937225,3,1000
49500,14.438799977302551,3,1000
49600,12.147300004959106,3,1000
49700,12.188899993896484,3,1000
49800,17.046000003814697,3,1000
49900,14.827499985694885,3,1000
